"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"89","Bush","President","99",0.019736,"X2.11.08","1:07","","President Bush Signs 2008 Economic Report","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080211-3.html","Economy","1:09",NA,NA,1,0,0.49,0.455172414,4.9,2.88,"99",0.00112138633254338,0.00112138633254338
"90","Bush","President","100",0.1846,"X2.13.08","1:59","","President Bush Signs H.R. 5140, the Economic Stimulus Act of 2008","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080213-3.html","Economy","2:05",NA,NA,1,0,0.49,0.455172414,4.9,3.02,"100",NA,NA
"91","Bush","President","101",0.0381944,"X2.26.08","2:11","","President Bush Meets with Former Cabinet Secretaries and Senior Government Officials on Free Trade Agreements","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080226-6.html","Economy","2:13",NA,NA,1,0,0.49,0.455172414,4.9,2.85,"101",-0.00175613563437694,-0.00175613563437694
"92","Bush","President","102",0.08333,"X2.28.08","11:41","","President Bush Meets with His Economic Team","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080228-3.html","Economy","11:44",NA,NA,1,0,0.49,0.455172414,4.9,3.06,"102",-0.000935016362786329,-0.000935016362786329
"93","Bush","President","103",0.32986,"X3.7.08","1:55","","President Bush Discusses Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080307-4.html","Economy","1:58",NA,NA,1,0,0.49,0.455172414,5.1,2.96,"103",-0.000540929006931654,-0.000540929006931654
"94","Bush","President","104",0.08277,"X3.14.08","11:20","","President Bush Visits the Economic Club of New York","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080314-5.html","Economy","11:59",NA,NA,1,0,0.49,0.455172414,5.1,2.99,"104",0.00278694650308289,0.00278694650308289
"95","Bush","President","105",0.045,"X3.17.08","9:40","","President Bush Discusses Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080317-1.html","Economy","9:41",NA,NA,1,0,0.49,0.455172414,5.1,2.69,"105",0.0422006877149111,-0.0144237049787525
"96","Bush","President","106",0.1325,"X3.18.08","2:13","","President Bush Visits Jacksonville, Florida, Discusses Trade Policy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080318-4.html","Economy","2:41",NA,NA,1,0,0.49,0.455172414,5.1,2.16,"106",0.0128784765036307,0.0128784765036307
"97","Bush","President","107",0.2161,"X3.26.08","12:25","","President Bush Visits ColorCraft of Virginia, Inc., Discusses Stimulus Package, Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080326-1.html","Economy","12:30",NA,NA,1,0,0.49,0.455172414,5.1,2.3,"107",0.000417732755469817,0.000417732755469817
"98","Bush","President","108",0.08295,"X3.28.08","3:30","","President Bush Discusses Housing, Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/03/20080328-9.html","Economy","3:38",NA,NA,1,0,0.49,0.455172414,5.1,2.09,"108",-0.00889957273008142,-0.00889957273008142
"99","Bush","President","109",-0.01666,"X4.7.08","1:46","","President Bush Meets with Small and Mid-Size Business Owners to Discuss Economic Stimulus Package","http://georgewbush-whitehouse.archives.gov/news/releases/2008/04/20080407-6.html","Economy","1:49",NA,NA,1,0,0.49,0.455172414,5,2.24,"109",-0.00763502277492585,-0.00763502277492585
